Vnum	Name	Rank	Type	BattleType	Level	ScalePct	Size	AiFlags0	AiFlags1	MountCapacity	RaceFlags	ImmuneFlags	Empire	Folder	OnClick	St	Dx	Ht	Iq	SungMaSt	SungMaDx	SungMaHt	SungMaIq	MinDamage	MaxDamage	MaxHp	RegenCycle	RegenPercent	MinGold	MaxGold	Exp	SungMaExp	Def	AttackSpeed	MoveSpeed	AggressiveHpPct	AggressiveSight	AttackRange	DropItemGroup	ResurrectionVnum	EnchantCurse	EnchantSlow	EnchantPoison	EnchantStun	EnchantCritical	EnchantPenetrate	ResistFist	ResistSword	ResistTwoHanded	ResistDagger	ResistBell	ResistFan	ResistBow	ResistClaw	ResistFire	ResistElect	ResistMagic	ResistWind	ResistPoison	ResistBleeding	AttElec	AttFire	AttIce	AttWind	AttEarth	AttDark	ResistDark	ResistIce	ResistEarth	DamMultiply	SummonVnum	DrainSp	MobColor	PolymorphItem	SkillLevel0	SkillVnum0	SkillLevel1	SkillVnum1	SkillLevel2	SkillVnum2	SkillLevel3	SkillVnum3	SkillLevel4	SkillVnum4	SpBerserk	SpStoneskin	SpGodspeed	SpDeathblow	SpRevive	SpHeal	SpRAtkSpeed	SpRCastSpeed	SpRHPRegen	HitRange
101	??	PAWN	MONSTER	MELEE	1	100				0	ANIMAL		0	stray_dog	0	3	6	5	2	0	0	0	0	20	24	126	6	7	0	0	15	0	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
102	??	PAWN	MONSTER	MELEE	3	100				0	ANIMAL		0	wolf	0	4	9	7	2	0	0	0	0	23	28	162	6	7	0	0	39	0	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
103	????	PAWN	MONSTER	MELEE	4	100				0	ANIMAL		0	wolf	0	8	5	10	3	0	0	0	0	25	30	182	6	7	0	0	51	0	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
104	????	PAWN	MONSTER	MELEE	6	100				0	ANIMAL		0	wolf	0	9	12	6	3	0	0	0	0	25	38	225	6	7	0	0	75	0	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
105	?? ????	PAWN	MONSTER	MELEE	9	100				0	ANIMAL		0	wolf	0	14	8	16	4	0	0	0	0	33	41	297	6	7	0	0	111	0	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
106	????	PAWN	MONSTER	MELEE	13	100				0	ANIMAL		0	wolf	0	21	21	10	5	0	0	0	0	40	49	412	6	7	0	0	159	0	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
107	?? ????	S_PAWN	MONSTER	MELEE	16	100				0	ANIMAL		0	wolf	0	23	24	12	6	0	0	0	0	45	55	614	6	12	0	0	234	0	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
108	???	PAWN	MONSTER	MELEE	7	100				0	ANIMAL		0	wild_boar	0	14	7	10	3	0	0	0	0	30	37	248	6	7	0	0	87	0	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
109	?? ???	S_PAWN	MONSTER	MELEE	10	100				0	ANIMAL		0	wild_boar	0	22	9	13	4	0	0	0	0	35	43	389	3	7	0	0	148	0	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
110	?	PAWN	MONSTER	POWER	12	100				0	ANIMAL		0	bear	0	20	10	20	5	0	0	0	0	39	47	381	6	7	0	0	147	0	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
111	???	S_PAWN	MONSTER	TANKER	15	100				0	ANIMAL		0	bear	0	14	17	34	6	0	0	0	0	44	53	572	6	7	0	0	220	0	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
112	???	PAWN	MONSTER	POWER	19	100				0	ANIMAL		0	bear	0	36	14	21	7	0	0	0	0	50	62	624	6	7	0	0	385	0	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
113	??	S_PAWN	MONSTER	POWER	21	100				0	ANIMAL		0	bear	0	35	15	23	8	0	0	0	0	54	66	845	6	12	0	0	510	0	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
114	???	PAWN	MONSTER	POWER	18	100				0	ANIMAL		0	tiger	0	18	20	27	7	0	0	0	0	49	60	585	6	12	0	0	365	0	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
115	??	S_PAWN	MONSTER	POWER	24	100		AGGR		0	ANIMAL		0	tiger	0	25	17	45	9	0	0	0	0	59	72	1007	10	22	0	0	582	0	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
131	???? ??	KNIGHT	MONSTER	MELEE	8	100		AGGR		0	ANIMAL	CURSE	0	wolf	0	16	16	31	8	0	0	0	0	32	39	435	6	7	0	0	198	0	12	100	120	100	2000	175	30028	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
132	???? ????	S_KNIGHT	MONSTER	MELEE	9	100		AGGR		0	ANIMAL	CURSE	0	wolf	0	23	24	31	8	0	0	0	0	33	41	743	6	7	0	0	444	0	13	100	120	100	2000	175	30069	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
133	???? ????	KNIGHT	MONSTER	MELEE	11	100		AGGR		0	ANIMAL	CURSE	0	wolf	0	16	16	32	8	0	0	0	0	37	45	564	6	7	0	0	270	0	15	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
134	???? ?? ????	S_KNIGHT	MONSTER	MELEE	14	100		AGGR		0	ANIMAL	CURSE	0	wolf	0	24	33	32	8	0	0	0	0	42	51	1110	6	7	0	0	684	0	18	100	120	100	2000	175	30027	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
135	???? ????	KNIGHT	MONSTER	MELEE	18	100		AGGR		0	ANIMAL	CURSE	0	wolf	0	17	25	25	8	0	0	0	0	49	60	936	6	7	0	0	438	0	22	100	120	100	2000	175	30070	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
136	???? ?? ????	S_KNIGHT	MONSTER	MELEE	21	100		AGGR		0	ANIMAL	CURSE	0	wolf	0	33	17	17	8	0	0	0	0	42	78	1761	6	12	0	0	1020	0	26	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
137	???? ???	KNIGHT	MONSTER	MELEE	12	100		AGGR		0	ANIMAL	CURSE	0	wild_boar	0	35	17	26	9	0	0	0	0	30	56	610	6	7	0	0	294	0	16	100	120	100	2000	175	30004	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
138	???? ?? ???	S_KNIGHT	MONSTER	MELEE	15	100		AGGR		0	ANIMAL	CURSE	0	wild_boar	0	35	18	26	9	0	0	0	0	44	53	1192	6	7	0	0	732	0	19	100	120	100	2000	175	30003	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
139	???? ?	KNIGHT	MONSTER	MELEE	17	100		AGGR		0	ANIMAL	CURSE	0	bear	0	36	18	27	9	0	0	0	0	37	68	875	6	7	0	0	414	0	21	100	120	100	2000	175	30010	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
140	???? ???	S_KNIGHT	MONSTER	TANKER	20	100		AGGR		0	ANIMAL	CURSE	0	bear	0	36	19	27	9	0	0	0	0	52	64	1659	6	7	0	0	972	0	25	100	120	100	2000	175	30071	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
141	???? ???	KNIGHT	MONSTER	TANKER	24	100		AGGR		0	ANIMAL	CURSE	0	bear	0	37	19	28	9	0	0	0	0	46	85	1342	6	7	0	0	582	0	29	100	120	100	2000	175	30053	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
